"","year_start","month_start","year_end","month_end","permno","n_obs","R2_long","R2_short","tau_pi_R"
"137",1993,12,2012,12,10145,20,0.162006783666237,0.00201357708810516,0.160316015233262
"138",1994,12,2013,12,10145,20,0.149924517708663,0.00470314998464161,0.145907593017882
"139",1995,12,2014,12,10145,20,0.151069115553691,0.00457088352502213,0.147170933222699
"140",1996,12,2015,12,10145,20,0.152028663188955,0.00406530161390325,0.148567332592012
"141",1997,12,2016,12,10145,20,0.151719178907123,0.00349999746936495,0.148739770257253
"142",1987,12,2006,12,10147,20,0.556995534320657,0.282531422537953,0.382545132155592
"143",1988,12,2007,12,10147,20,0.553174197678702,0.284943743366476,0.375117974038926
"144",1989,12,2008,12,10147,20,0.548252623206062,0.273249923925256,0.378400647394667
"145",1990,12,2009,12,10147,20,0.540698028152515,0.264449123436095,0.375567365247262
"146",1991,12,2010,12,10147,20,0.535473690242539,0.259250434742687,0.372896952567095
"147",1992,12,2011,12,10147,20,0.544933632635437,0.260192384347767,0.384885532756561
"148",1993,12,2012,12,10147,20,0.493666884407438,0.254641718696393,0.320684926573833
"149",1994,12,2013,12,10147,20,0.438601624260912,0.193400194883651,0.303993911010048
"150",1995,12,2014,12,10147,20,0.470474109040096,0.210796733361478,0.32903738067972
"151",1960,12,1979,12,10153,20,0.0263705899405467,0.0243431829225842,0.00207799195626548
"152",1961,12,1980,12,10153,20,0.0210900364535636,0.0208272850732285,0.00026834017771293
"153",1962,12,1981,12,10153,20,0.127977324677079,0.0296188080499153,0.101360699736463
"154",1963,12,1982,12,10153,20,0.123702391813546,0.0129285026642761,0.112224787614947
"155",1964,12,1983,12,10153,20,0.105286512459096,0.0105480081124149,0.0957484598782278
"156",1965,12,1984,12,10153,20,0.0392821009858084,0.000010561882131131,0.0392719538894253
"157",1960,12,1979,12,10161,20,0.0906124443065984,0.0879271848686747,0.00294412835617418
"158",1961,12,1980,12,10161,20,0.0537820600772745,0.0526820872746211,0.00116114430844963
"159",1962,12,1981,12,10161,20,0.430173385488553,0.259028915403579,0.230973210213986
"160",1963,12,1982,12,10161,20,0.429867969581823,0.18107407891065,0.303805123594357
"161",1964,12,1983,12,10161,20,0.204604039178442,0.18230644789059,0.0272688848167282
"162",1965,12,1984,12,10161,20,0.127997353539272,0.014826771096756,0.114873789829332
"163",1966,12,1985,12,10161,20,0.102856101203833,0.00633390824357184,0.097137452672503
"164",1967,12,1986,12,10161,20,0.137349174454637,0.000429050653201697,0.136978894685675
"165",1968,12,1987,12,10161,20,0.141747432912658,0.0000559332380022072,0.141699425382341
"166",1969,12,1988,12,10161,20,0.124142677602297,0.000235305956478499,0.123936534650647
"167",1970,12,1989,12,10161,20,0.120816019372864,0.000113440071132788,0.120716273364368
"168",1971,12,1990,12,10161,20,0.116578168678006,0.0000715501852061598,0.116514955159421
"169",1972,12,1991,12,10161,20,0.145588155504777,0.00230984223691194,0.143610029780296
"170",1987,12,2006,12,10163,20,0.461228168979268,0.460521176615096,0.00131050994687157
"171",1988,12,2007,12,10163,20,0.0640882636303103,0.0477221862490533,0.0171862424440955
"172",1989,12,2008,12,10163,20,0.178341146688198,0.0792620016530978,0.107608402404362
"173",1990,12,2009,12,10163,20,0.254509267447204,0.0298716955853311,0.231554497317145
"174",1991,12,2010,12,10163,20,0.279319223115822,0.0756804393317025,0.220312100326954
"175",1988,1,2007,1,10182,20,0.288221933438231,0.0397843826324784,0.258731004070582
"176",1989,1,2008,1,10182,20,0.353535698321686,0.0358328132638368,0.329510161130163
"177",1990,1,2009,1,10182,20,0.358341843541442,0.045134710276685,0.328011853227499
"178",1991,1,2010,1,10182,20,0.354218473204048,0.0266723833424782,0.336521931830504
"179",1992,1,2011,1,10182,20,0.356341980372287,0.0275572726269877,0.338101873241922
"180",1993,1,2012,1,10182,20,0.302518417048916,0.0105485153965721,0.295082584841808
"181",1994,1,2013,1,10182,20,0.293518664723639,0.00811744612516147,0.287736907442865
"182",1995,1,2014,1,10182,20,0.282559201319062,0.000028868903863865,0.282538488991675
"183",1996,1,2015,1,10182,20,0.246853802421789,0.00165067556602814,0.245608546882908
"184",1997,1,2016,1,10182,20,0.215541800226759,0.0113579499234597,0.20652960319409
"185",1988,3,2007,3,10200,20,0.0667434830418571,0.0101436669996677,0.0571798291885762
"186",1989,3,2008,3,10200,20,0.270093458137214,0.00104984741278205,0.269326362309096
"187",1990,3,2009,3,10200,20,0.244697295325462,0.00607789498512006,0.24007857269335
"188",1991,3,2010,3,10200,20,0.244349082014362,0.0278087572284814,0.222734288542415
"189",1992,3,2011,3,10200,20,0.235273083820544,0.0318978450690025,0.210076217386416
"190",1963,12,1982,12,10225,20,0.0312009975990264,0.0024691042350279,0.0288030110004412
"191",1964,12,1983,12,10225,20,0.0158563118830147,0.0013811542844901,0.0144951776752753
"192",1965,12,1984,12,10225,20,0.0170810549418891,0.0122029322181787,0.00493838550732347
"193",1966,12,1985,12,10225,20,0.0429051843240169,0.0225712965473251,0.0208034485838858
"194",1967,12,1986,12,10225,20,0.0406762096867451,0.011800150775913,0.0292208695776516
"195",1968,12,1987,12,10225,20,0.00525926491611916,0.00513354900128045,0.000126364613775555
"196",1969,12,1988,12,10225,20,0.0793172076281594,0.0700954766304335,0.00991685787731232
"197",1970,12,1989,12,10225,20,0.137385716029592,0.117950842388696,0.0220337760919443
"198",1971,12,1990,12,10225,20,0.219326700275007,0.171246453756102,0.0580151321666321
"199",1972,12,1991,12,10225,20,0.294009299739002,0.219763982266293,0.0951575110418045
"200",1973,12,1992,12,10225,20,0.180632404270544,0.175609342016873,0.00609306062002214
"201",1974,12,1993,12,10225,20,0.226225352452271,0.22016988549644,0.00776511043009078
"202",1975,12,1994,12,10225,20,0.167237940774238,0.124921516313006,0.0483572905174616
"203",1976,12,1995,12,10225,20,0.141520808238597,0.106072709063107,0.0396543427355692
"204",1977,12,1996,12,10225,20,0.149131549930615,0.100450117286689,0.0541175465412641
"205",1978,12,1997,12,10225,20,0.0256144932123464,0.00948204646967323,0.016286879692766
"206",1979,12,1998,12,10225,20,0.0279896128090547,0.00475070195841852,0.0233498389763901
"207",1980,12,1999,12,10225,20,0.0366817415035579,0.0000142642601353493,0.0366680002853172
"208",1981,12,2000,12,10225,20,0.0412465016718289,0.000734726251867061,0.0405415623701269
"209",1982,12,2001,12,10225,20,0.0137803172354619,0.000123585738934626,0.0136584194823916
"210",1983,12,2002,12,10225,20,0.0277358033435205,0.00400036318214759,0.0238307719038994
